name      - the name of the galaxy;
a_26      - linear diameter of the galaxy in kpc, determined at Holmberg's isophote (26.5 mag/square arcsec);
m_b       - absolute magnitude of the galaxy in the B-band corrected for extinction;
log_lk    - logarithm of the stellar mass in solar units;
log_m26   - logarithm of the indicative (dynamic) mass within the Holmberg diameter; 
log_mhi   - logarithm of the hydrogen mass in solar units;
ti1       - tidal index $\Theta_1$;
md        - Main Disturber's name;
D         - distance to the galaxy in Mpc;
delta_vlg - line-of-sight velocity of the galaxy (in km s$^{-1}$) relative to the velocity of MD;
count     - number of members in the suite of MD, to which the galaxy belongs.
 
       name        | a_26  |  m_b  | log_lk | log_m26 | log_mhi | vlg  | ti1  |       md        |   D   | delta_vlg | count 
 ESO137-018        |  7.76 | -18.1 |   9.62 |    9.55 |  8.66   |  418 | -1.6 | CIRCINUS        |  6.40 |       229 |     6
 ESO059-001        |  3.23 | -15.0 |   8.15 |    9.09 |  7.98   |  247 | -1.6 | CIRCINUS        |  4.57 |        58 |     6
 ESO006-001        |  2.55 | -14.8 |   7.81 |         | <6.70   |  489 | -2.0 | CIRCINUS        |  6.70 |       300 |     6
 d0226+3325        |  4.80 | -12.7 |   7.32 |    8.85 |  8.00   |  705 |  3.7 | NGC0925         |  9.30 |       -33 |     6
 Halogas           |  1.23 | -12.2 |   7.12 |    7.12 |  7.12   |  714 |  2.8 | NGC0925         |  9.30 |       -24 |     6
 DDO025            |  7.57 | -16.3 |   8.87 |    8.97 |  8.41   |  785 |  1.2 | NGC0925         |  9.30 |        47 |     6
 DDO019            |  6.10 | -14.4 |   8.00 |    9.30 |  8.32   |  771 |  0.3 | NGC0925         |  9.30 |        33 |     6
 NGC0855           |  8.91 | -17.0 |   9.37 |    9.24 |  8.45   |  770 | -1.0 | NGC0925         |  9.73 |        32 |     6
 AGC122226         |  2.32 | -13.1 |   7.50 |    7.30 |  7.55   |  625 | -1.2 | NGC0925         |  8.56 |      -113 |     6
 NGC4163           |  1.89 | -13.8 |   7.90 |    7.81 |  7.16   |  163 |  2.3 | NGC4214         |  2.94 |      -132 |     6
 KDG090            |  1.31 | -11.5 |   6.86 |         | <5.56   |      |  1.3 | NGC4214         |  2.86 |           |     6
 NGC4190           |  1.79 | -13.9 |   7.90 |    8.49 |  7.46   |  239 |  0.8 | NGC4214         |  2.82 |       -56 |     6
 DDO099            |  3.23 | -13.5 |   7.42 |    7.69 |  7.74   |  257 | -0.8 | NGC4214         |  2.64 |       -38 |     6
 LV J1213+2957     |  0.37 |  -9.8 |   6.18 |         |         |  196 | -0.8 | NGC4214         |  2.68 |       -99 |     6
 DDO125            |  3.09 | -14.3 |   8.10 |    7.25 |  7.48   |  251 | -0.8 | NGC4214         |  2.74 |       -44 |     6
 KDG104            |  2.25 | -13.1 |   7.50 |    6.39 |  7.06   | 1764 |  0.3 | NGC4435         |  9.40 |           |     6
 IC3077            |  4.77 | -14.9 |   8.16 |    8.54 |  6.97   | 1303 | -0.3 | NGC4435         |  9.10 |           |     6
 GR34              |  2.45 | -13.9 |   7.81 |    6.87 |  6.93   | 1205 | -0.5 | NGC4435         |  8.90 |           |     6
 VCC1725           |  2.90 | -14.9 |   8.48 |    8.63 |  7.60   |  959 | -1.1 | NGC4435         |  8.50 |           |     6
 KDG177            |  2.13 | -13.3 |   7.59 |    7.32 |  7.69   |  913 | -1.2 | NGC4435         |  8.20 |           |     6
 VCC0841           |  2.51 | -14.1 |   7.90 |    7.84 |  7.01   |  404 | -1.4 | NGC4435         |  7.90 |           |     6
 NGC5229           |  7.39 | -15.6 |   8.47 |    9.41 |  8.47   |  456 |  1.1 | NGC5194         |  8.00 |       -82 |     6
 LV J1328+4937     |  1.03 | -12.3 |   7.16 |         |         |  497 |  0.9 | NGC5194         |  8.02 |       -41 |     6
 UGCA361           |  2.24 | -12.8 |   8.09 |         |         |      |  0.8 | NGC5194         |  8.00 |           |     6
 NGC5195           | 15.79 | -19.2 |  10.59 |   10.73 |  8.14   |  548 |  0.4 | NGC5194         |  7.66 |        10 |     6
 NGC5055           | 42.22 | -21.0 |  10.99 |   11.34 |  9.62   |  562 | -0.1 | NGC5194         |  8.99 |        24 |     6
 UGC07950          |  3.58 | -15.2 |   8.36 |    8.65 |  8.05   |  599 | -0.4 | NGC5194         |  8.90 |        61 |     6
 UGC01171          |  2.91 | -13.9 |   7.80 |    7.39 |  8.06   |  906 |  2.2 | NGC0628         |  7.38 |        79 |     5
 UGC01056          |  2.24 | -14.8 |   8.25 |    8.03 |  7.64   |  774 |  1.1 | NGC0628         |  7.30 |       -53 |     5
 UGC01104          |  4.06 | -15.2 |   8.35 |    8.90 |  8.02   |  869 |  0.5 | NGC0628         |  7.55 |        42 |     5
 KDG010            |  3.49 | -13.5 |   7.66 |    7.81 |  7.72   |  953 |  0.0 | NGC0628         |  7.87 |       126 |     5
 DDO013            | 12.64 | -15.7 |   8.53 |    8.68 |  8.66   |  798 | -1.4 | NGC0628         |  9.04 |       -29 |     5
 IC1727            | 14.97 | -17.8 |   9.46 |    9.79 |  8.87   |  533 |  4.0 | NGC0672         |  7.20 |       -93 |     5
 KK14              |  1.71 | -12.1 |   7.10 |    6.95 |  7.56   |  619 |  1.8 | NGC0672         |  7.20 |        -7 |     5
 KK13              |  1.58 | -13.1 |   7.49 |    7.33 |  7.20   |  556 |  0.7 | NGC0672         |  7.20 |       -70 |     5
 UGC1561           |  5.28 | -15.1 |   8.31 |    8.63 |  7.63   |  782 | -0.7 | NGC0672         |  7.20 |       156 |     5
 AGC112521         |  1.18 | -11.5 |   6.87 |    6.58 |  6.81   |  476 | -0.9 | NGC0672         |  6.52 |      -150 |     5
 DDO024            |  7.80 | -16.5 |   8.96 |    9.00 |  8.73   |  780 |  1.0 | NGC0891         |  9.80 |        44 |     5
 UGC02172          |  4.13 | -15.7 |   8.32 |    8.62 |  7.87   |  765 |  0.3 | NGC0891         |  9.30 |        29 |     5
 DDO022            |  4.69 | -14.4 |   8.01 |    8.41 |  8.05   |  765 |  0.2 | NGC0891         |  9.30 |        29 |     5
 UGC00288          |  2.21 | -13.8 |   7.78 |    7.76 |  7.68   |  463 | -1.9 | NGC0891         |  6.73 |      -273 |     5
 And IV            |  1.93 | -12.1 |   7.11 |    8.84 |  8.32   |  503 | -1.9 | NGC0891         |  6.31 |      -233 |     5
 KUG 0937+480      |  1.90 | -12.6 |   7.27 |         |         |  575 | -0.8 | NGC2841         |  7.88 |           |     5
 LV J1000+5022     |  1.34 | -12.5 |   7.24 |         |         |  582 | -0.9 | NGC2841         |  7.97 |           |     5
 MCG +09-16-010    |  1.98 | -13.2 |   7.63 |         |         |  537 | -1.1 | NGC2841         |  7.35 |           |     5
 DDO052            |  5.23 | -15.0 |   8.39 |    8.94 |  8.32   |  401 | -1.2 | NGC2841         | 10.28 |           |     5
 NGC2787           |  7.99 | -18.5 |  10.19 |   10.58 |  8.43   |  842 | -1.7 | NGC2841         |  7.48 |           |     5
 ESO294-010        |  0.84 | -10.9 |   6.25 |    5.93 |  5.48   |   71 |  0.4 | NGC0055         |  1.92 |       -40 |     4
 NGC0300           | 16.05 | -17.9 |   9.43 |   10.18 |  9.35   |  116 |  0.1 | NGC0055         |  2.15 |         5 |     4
 ESO410-005        |  0.91 | -11.6 |   6.88 |    6.13 |  5.91   |   53 |  0.0 | NGC0055         |  1.92 |       -58 |     4
 UGCA438           |  1.36 | -12.9 |   7.57 |    7.74 |  7.23   |   99 | -0.4 | NGC0055         |  2.18 |       -12 |     4
 DDO083            |  6.36 | -14.9 |   8.03 |    9.20 |  8.56   |  527 | -1.4 | NGC3184         | 10.90 |       -61 |     4
 CGCG 095-078      |  1.79 | -13.8 |   7.79 |    7.23 |  7.03   |  538 | -0.9 | NGC3344         |  7.37 |        38 |     4
 UGC05427          |  2.87 | -14.5 |   8.14 |    8.75 |  7.47   |  427 | -1.2 | NGC3344         |  7.11 |       -73 |     4
 NGC3274           |  5.53 | -16.6 |   8.83 |    9.60 |  8.76   |  465 | -1.2 | NGC3344         |  7.98 |       -35 |     4
 MRK0036           |  1.59 | -14.0 |   7.52 |    7.82 |  7.37   |  585 | -1.4 | NGC3344         |  8.02 |        85 |     4
 NGC3377           | 16.95 | -19.1 |  10.42 |         |         |  536 |  1.4 | NGC3379         | 10.91 |      -238 |     4
 UGC05983          |  2.91 | -13.9 |   7.80 |         |         |  741 |  4.9 | NGC3432         |  9.20 |       154 |     4
 LV J1052+3639     |  4.38 | -14.1 |   7.88 |         |         |  487 |  4.7 | NGC3432         |  9.20 |      -100 |     4
 LV J1052+3628     |  1.18 | -12.0 |   7.04 |         |         |  451 |  3.4 | NGC3432         |  9.20 |      -136 |     4
 VV747             |  2.92 | -14.4 |   8.02 |         |         |  594 |  0.9 | NGC3432         |  9.20 |         7 |     4
 NGC3521sat        |  8.13 | -14.2 |   8.62 |         |         |      |  4.7 | NGC3521         | 10.70 |           |     4
 KKSG20            |  1.68 | -12.8 |   7.37 |    6.69 |  6.18   |  636 |  3.9 | NGC3521         | 10.70 |        38 |     4
 KKSG22            |  1.61 | -12.1 |   7.11 |         | <7.11   |      |  1.9 | NGC3521         | 10.70 |           |     4
 UGC06145          |  4.42 | -13.9 |   7.83 |    8.20 |  7.97   |  546 |  1.5 | NGC3521         | 10.70 |       -52 |     4
 NGC4485           |  3.98 | -16.7 |   8.61 |    9.51 |  8.57   |  517 |  5.6 | NGC4490         |  5.80 |      -106 |     4
 MAPS1231+42       |  0.56 | -11.1 |   6.69 |    5.80 |  6.22   |  602 |  2.9 | NGC4490         |  5.80 |       -21 |     4
 LV J1243+4127     |  2.40 | -11.8 |   6.97 |    6.25 |  7.02   |  444 |  0.2 | NGC4490         |  6.09 |      -179 |     4
 UGCA281           |  1.73 | -13.7 |   7.82 |    8.15 |  7.76   |  347 | -0.6 | NGC4490         |  5.68 |      -276 |     4
 LV J1342+4840     |  1.68 | -13.1 |   7.49 |         |         |  543 |  0.8 | NGC5195         |  7.44 |        -5 |     4
 MCG +08-25-028    |  2.13 | -13.6 |   7.70 |         |         |  565 |  0.8 | NGC5195         |  7.74 |        17 |     4
 NGC5194           | 39.25 | -21.4 |  10.97 |   10.62 |  9.32   |  538 |  0.0 | NGC5195         |  8.40 |       -10 |     4
 NGC5023           | 12.97 | -17.1 |   9.08 |    9.96 |  8.65   |  476 | -0.6 | NGC5195         |  6.61 |       -72 |     4
 HIZSS012          | 35.87 | -18.6 |   9.71 |   10.91 |  9.02   |  525 |  0.0 | HIZSS008        |  7.20 |       -17 |     3
 HIPASS J0705-20   |       |       |        |         |  8.21   |  528 | -0.7 | HIZSS008        |  7.23 |       -14 |     3
 ESO558-011        |  6.20 | -17.0 |   9.14 |    9.48 |  8.07   |  489 | -1.3 | HIZSS008        |  8.40 |       -53 |     3
 HIZSS014          |  2.88 | -16.7 |   8.91 |    8.38 |  7.92   |  537 | -0.1 | HIZSS012        |  7.35 |        12 |     3
 HIZSS008          | 10.56 | -18.8 |   9.87 |    9.71 |  8.71   |  542 | -0.1 | HIZSS012        |  7.43 |        17 |     3
 HIPASS J0801-21   |  1.06 | -12.8 |   7.36 |    7.92 |  7.54   |  463 | -1.5 | HIZSS012        |  6.34 |       -62 |     3
 AM2220-460        |  2.30 | -13.4 |   7.62 |    8.76 |  7.45   |  822 |  2.4 | IC5201          |  8.80 |       -71 |     3
 ESO238-005        |  6.98 | -14.8 |   8.19 |    9.18 |  8.33   |  671 | -1.0 | IC5201          |  7.80 |      -222 |     3
 NGC7462           | 15.20 | -18.2 |   9.48 |   10.06 |  8.81   | 1056 | -1.9 | IC5201          | 10.10 |       163 |     3
 MB1               |  2.25 | -13.8 |   8.23 |    8.04 |  7.27   |  421 |  4.6 | Maffei1         |  3.00 |       123 |     3
 KKH12             |  2.97 | -13.0 |   7.67 |    8.14 |  7.23   |  303 |  1.9 | Maffei1         |  3.00 |         5 |     3
 KKH11             |  2.24 | -13.3 |   7.64 |    8.61 |  7.66   |  528 |  1.3 | Maffei1         |  3.00 |       230 |     3
 MESSIER081        | 31.35 | -20.9 |  10.93 |   11.27 |  9.44   |  104 |  2.5 | MESSIER082      |  3.63 |      -224 |     3
 FM1               |  0.96 | -10.5 |   7.14 |         | <6.12   |      |  2.1 | MESSIER082      |  3.40 |           |     3
 [CKT2009]d0944+71 |  0.89 | -11.1 |   7.39 |         | <5.49   |      |  1.8 | MESSIER082      |  3.39 |           |     3
 KK17              |  1.46 | -11.5 |   7.00 |    6.07 |  6.74   |  360 |  1.1 | NGC0784         |  4.90 |       -25 |     3
 UGC01281          |  7.88 | -16.1 |   8.52 |    9.42 |  8.22   |  367 | -1.1 | NGC0784         |  4.94 |       -18 |     3
 KK16              |  2.15 | -12.7 |   7.32 |    6.19 |  6.84   |  400 | -1.5 | NGC0784         |  5.47 |        15 |     3
 HIPASS J0607-34   |  2.24 | -15.5 |   8.46 |    9.07 |  8.09   |  529 |  1.6 | NGC2188         |  7.40 |        21 |     3
 ESO364-029        |  8.06 | -15.9 |   8.97 |    9.23 |  8.38   |  554 |  0.0 | NGC2188         |  7.59 |        46 |     3
 KK55              |  1.66 | -13.7 |   7.73 |    8.06 |  7.86   |  559 | -1.9 | NGC2188         |  7.65 |        51 |     3
 KKSG9             |  2.17 | -15.7 |   8.72 |    9.42 |  8.64   |  474 |  2.4 | NGC2283         | 10.00 |      -148 |     3
 IC2171            |  7.59 | -16.7 |   9.05 |    9.29 |  8.38   |  572 |  1.6 | NGC2283         |  9.90 |       -50 |     3
 CGMW1-260         | 13.13 | -18.3 |   9.44 |   10.14 |  8.71   |  542 | -1.2 | NGC2283         | 10.80 |       -80 |     3
 UGC04998          |  4.41 | -14.9 |   8.71 |    9.01 |  7.04   |  770 | -0.4 | NGC2787         |  8.24 |       -72 |     3
 DDO087            |  3.46 | -14.3 |   8.31 |    9.15 |  8.24   |  468 | -1.0 | NGC2787         |  7.45 |      -374 |     3
 UGC05423          |  2.88 | -15.6 |   8.41 |    8.18 |  7.84   |  496 | -1.2 | NGC2787         |  8.71 |      -346 |     3
 GARLAND           |  4.61 | -11.4 |   6.81 |         | <7.54   |  183 |  6.0 | NGC3077         |  3.82 |        24 |     3
 BK5N              |  0.93 | -10.6 |   7.20 |         |         |      |  2.6 | NGC3077         |  3.78 |           |     3
 A0952+69          |  2.17 | -11.5 |   6.86 |    8.05 |  7.00   |  242 |  2.0 | NGC3077         |  3.87 |        83 |     3
 DDO092            |  3.98 | -14.4 |   8.02 |    8.50 |  8.32   |  999 |  0.9 | NGC3556         |  9.90 |       222 |     3
 KKH73             |  1.82 | -12.5 |   7.26 |    6.97 |  6.98   |  685 | -0.5 | NGC3556         |  9.00 |       -92 |     3
 NGC3990           |  5.02 | -16.7 |   9.52 |         |         |  788 | -0.7 | NGC3556         | 10.30 |        11 |     3
 DDO088            |  4.95 | -15.2 |   8.33 |    9.15 |  7.87   |  431 | -1.0 | NGC3623         |  7.73 |           |     3
 IC3023            |  2.51 | -14.2 |   7.95 |    8.17 |  7.57   |  710 | -1.3 | NGC3623         |  7.70 |           |     3
 LV J1030+0607     |  1.61 | -12.8 |   7.36 |    6.94 |  7.16   |  458 | -1.3 | NGC3623         |  7.80 |           |     3
 DDO131            |  2.72 | -14.3 |   7.99 |    8.66 |  8.06   |  622 |  0.8 | NGC4559         |  8.10 |      -165 |     3
 NGC4455           |  7.67 | -16.9 |   8.95 |    9.32 |  8.62   |  588 | -0.6 | NGC4559         |  8.40 |      -199 |     3
 NGC4204           | 10.65 | -16.8 |   9.12 |    9.71 |  8.57   |  787 | -1.1 | NGC4559         |  8.00 |         0 |     3
 LV J1241+3251     |  1.68 | -13.0 |   7.45 |    6.95 |  7.20   |  693 |  2.8 | NGC4627         |  7.30 |       152 |     3
 BTS151            |  1.65 | -12.0 |   7.75 |         |         |      |  2.7 | NGC4627         |  7.30 |           |     3
 NGC4631           | 33.69 | -20.3 |  10.49 |   10.41 |  9.72   |  581 |  1.8 | NGC4627         |  7.38 |        40 |     3
 UGC12588          |  4.87 | -16.1 |   8.78 |    9.41 |  8.16   |  723 |  1.8 | NGC7640         |  7.90 |        55 |     3
 UGC12894          |  2.78 | -13.3 |   7.58 |    8.17 |  7.92   |  619 | -1.5 | NGC7640         |  8.47 |       -49 |     3
 DDO217            | 16.80 | -17.8 |   9.47 |   10.18 |  9.01   |  720 | -2.0 | NGC7640         |  9.70 |        52 |     3
 LV J2335-3713     |  1.30 | -12.9 |   7.41 |    7.06 |  7.21   |  623 |  1.4 | NGC7713         |  7.80 |       -73 |     3
 IC5332            | 19.05 | -18.6 |   9.62 |   10.24 |  9.18   |  716 |  0.2 | NGC7713         |  7.80 |        20 |     3
 ApplesI           |  0.24 |  -8.3 |   6.25 |         |         |  661 | -1.5 | NGC7713         |  8.32 |       -35 |     3
 KK65              |  2.64 | -14.3 |   8.11 |    7.66 |  7.70   |  170 |  1.6 | DDO047          |  8.02 |        10 |     2
 UGC04115          |  4.29 | -14.3 |   8.24 |    8.84 |  8.34   |  215 | -1.7 | DDO047          |  7.73 |        55 |     2
 ESO496-010        |  2.56 | -15.1 |   8.35 |    8.47 |  7.68   |  524 | -0.3 | ESO495-021      |  7.80 |       -57 |     2
 CGMW2-3473        |  2.04 | -15.2 |   8.31 |    8.32 |  7.78   |  549 | -0.9 | ESO495-021      |  7.40 |       -32 |     2
 NGC0672           | 15.68 | -18.8 |   9.65 |   10.22 |  9.23   |  626 |  3.8 | IC1727          |  7.20 |        93 |     2
 KK15              |  1.28 | -11.4 |   6.82 |    5.97 |  7.05   |  563 |  2.0 | IC1727          |  7.20 |        30 |     2
 NGC7713           | 15.03 | -18.4 |   9.43 |   10.11 |  8.74   |  696 |  0.4 | IC5332          |  7.80 |       -20 |     2
 ESO347-017        |  4.10 | -14.8 |   8.37 |    8.67 |  8.15   |  701 |  0.1 | IC5332          |  7.60 |       -15 |     2
 NGC0045           | 22.88 | -18.5 |   9.61 |   10.45 |  9.47   |  528 | -0.9 | NGC0024         |  9.20 |       -78 |     2
 ESO473-024        |  4.44 | -13.7 |   7.72 |    8.40 |  8.18   |  584 | -1.1 | NGC0024         |  9.90 |       -22 |     2
 KK27              |  1.40 | -11.8 |   6.98 |    6.01 |  5.87   |  327 |  1.6 | NGC1313         |  3.98 |        63 |     2
 [KK2000] 03       |  3.01 | -12.3 |   8.21 |         | <6.28   |      | -0.8 | NGC1313         |  4.10 |           |     2
 UGC03698          |  2.66 | -14.3 |   7.98 |    7.91 |  7.86   |  464 | -1.4 | NGC2337         |  7.24 |       -12 |     2
 UGC03817          |  4.62 | -14.1 |   8.43 |    7.97 |  8.17   |  478 | -1.6 | NGC2337         |  8.55 |         2 |     2
 DDO044            |  2.72 | -12.1 |   7.78 |         | <6.02   |  356 |  2.3 | NGC2403         |  3.19 |        94 |     2
 NGC2366           |  6.68 | -16.0 |   8.67 |    9.16 |  8.61   |  251 |  1.0 | NGC2403         |  3.19 |       -11 |     2
 NGC3627           | 30.58 | -21.1 |  11.01 |   11.10 |  9.01   |  579 |  1.1 | NGC3628         | 10.28 |           |     2
 KKH67             |  2.10 | -11.7 |   7.63 |         |         |      | -0.5 | NGC3628         | 10.00 |           |     2
 KKH78             |  0.61 | -10.7 |   6.54 |         |         |      |  0.8 | NGC4395         |  4.70 |           |     2
 DDO133            |  5.01 | -15.0 |   8.24 |    8.48 |  8.20   |  319 |  0.0 | NGC4395         |  4.85 |        11 |     2
 LV J1228+4358     |  4.56 | -13.9 |   7.83 |         |         |      |  1.3 | NGC4449         |  4.07 |           |     2
 NGC4736           | 20.68 | -19.9 |  10.61 |   10.73 |  8.32   |  352 | -0.6 | NGC4449         |  4.66 |       103 |     2
 UGC07512          |  4.42 | -15.0 |   8.25 |    8.66 |  8.26   | 1354 |  0.4 | NGC4457         | 10.60 |           |     2
 NGC4517           | 31.95 | -20.2 |  10.40 |   10.87 |  9.35   |  978 | -0.5 | NGC4457         |  9.70 |           |     2
 NGC4625           |  3.84 | -16.5 |   9.21 |    8.69 |  8.49   |  646 |  3.8 | NGC4618         |  7.90 |        70 |     2
 UGC7751           |  2.73 | -13.1 |   7.49 |    7.90 |  7.58   |  641 |  1.0 | NGC4618         |  7.90 |        65 |     2
 UGCA127sat        |  3.51 | -16.3 |   8.76 |         |         |      |  3.9 | UGCA127         |  8.50 |           |     2
 WHI B0619-07      |  7.17 | -17.7 |   9.45 |    9.72 |  8.94   |  591 |  1.5 | UGCA127         |  8.40 |        29 |     2
 IC5201            | 21.85 | -18.8 |  10.01 |   10.36 |  9.23   |  893 |  0.0 | AM2220-460      |  8.80 |        71 |     1
 NGC3109           |  7.66 | -15.7 |   8.57 |    9.37 |  8.37   |  110 |  0.2 | Antlia          |  1.32 |        44 |     1
 KKH40             |  1.40 | -12.9 |   7.41 |    7.00 |  7.48   |  510 | -0.2 | CGCG 262-028    |  6.98 |        -8 |     1
 NGC0925           | 33.32 | -19.9 |  10.12 |   10.65 |  9.58   |  738 |  0.9 | d0226+3325      |  9.29 |        33 |     1
 NGC2403           | 26.46 | -19.2 |   9.86 |   10.71 |  9.26   |  262 |  0.2 | DDO044          |  3.18 |       -94 |     1
 KK78              |  0.84 | -11.7 |   6.92 |    5.90 |  7.35   |  479 |  2.8 | DDO064          |  7.10 |        18 |     1
 [CKT2009]d1028+70 |  0.85 | -12.0 |   7.04 |    6.10 |  6.16   |   35 |  2.0 | DDO082          |  4.00 |      -172 |     1
 KUG 1033+366B     |  1.40 | -12.6 |   7.30 |         |         |  592 | -0.9 | DDO084          |  8.10 |         0 |     1
 KK149             |  2.43 | -14.8 |   8.19 |    8.29 |  7.77   |  445 |  0.2 | DDO129          |  8.90 |      -137 |     1
 UGCA319           |  2.84 | -14.6 |   8.22 |    8.94 |  7.97   |  555 |  2.2 | DDO161          |  7.30 |        10 |     1
 UGC00064          |  4.87 | -14.8 |   8.15 |    8.65 |  8.58   |  587 | -1.7 | DDO217          |  9.60 |      -133 |     1
 Maffei2           | 14.28 | -20.1 |  10.67 |   10.62 |  8.78   |  214 |  2.4 | Dw1             |  2.80 |      -119 |     1
 MB3               |  4.47 | -13.6 |   8.09 |    6.51 |  7.78   |  281 |  3.0 | Dw2             |  3.00 |       -35 |     1
 LV J0616-5745     |  0.71 | -12.1 |   7.07 |    7.50 |  7.36   |  286 |  0.6 | ESO121-020      |  6.00 |       -33 |     1
 NGC1311           |  6.83 | -15.3 |   8.38 |    9.02 |  7.99   |  399 | -1.2 | ESO154-023      |  5.20 |        -9 |     1
 NGC1291           | 37.35 | -20.4 |  10.94 |    9.77 |  8.98   |  702 | -1.3 | ESO300-016      |  8.80 |       119 |     1
 HIPASS J0905-36   |  1.69 | -13.9 |   7.82 |    8.53 |  7.96   |  579 | -1.3 | ESO314-002      |  7.93 |           |     1
 NGC1744           | 20.41 | -18.7 |   9.42 |   10.38 |  9.35   |  574 |  0.1 | ESO486-021      | 10.00 |       -90 |     1
 NGC3037           |  3.28 | -16.3 |   8.69 |    9.38 |  8.31   |  591 | -1.1 | ESO499-037      |  8.10 |           |     1
 NGC3077           |  7.58 | -17.6 |   9.56 |    9.33 |  8.79   |  159 |  3.2 | GARLAND         |  3.82 |       -24 |     1
 NGC2188           |  9.82 | -17.5 |   9.26 |    9.45 |  8.61   |  508 |  0.8 | HIPASS J0607-34 |  7.40 |       -21 |     1
 [CKT2009]d1015+69 |  0.31 |  -7.8 |   6.06 |         |         |      |  1.3 | IC2574          |  4.07 |           |     1
 NGC3115           | 24.04 | -20.8 |  10.95 |   10.50 |  8.75   |  439 |  2.3 | KDG065          |  9.68 |       -40 |     1
 NGC4258           | 41.49 | -21.2 |  10.94 |   11.33 |  9.64   |  506 |  1.1 | KK134           |  7.83 |           |     1
 NGC0784           |  9.52 | -16.5 |   8.60 |    9.23 |  8.46   |  385 | -0.5 | KK17            |  4.97 |        25 |     1
 NGC4826           | 17.75 | -19.5 |  10.48 |   10.70 |  8.26   |  365 | -0.8 | KK177           |  4.37 |           |     1
 NGC6744           | 52.75 | -21.0 |  10.79 |   11.35 |  10.19  |  706 |  2.0 | [KK2000] 71     |  8.30 |           |     1
 NGC5236           | 28.19 | -20.6 |  10.86 |   11.32 |  10.00  |  307 | -0.5 | KK208           |  4.92 |           |     1
 NGC1313           | 16.37 | -19.0 |   9.52 |   10.44 |  9.24   |  264 | -0.9 | KK27            |  4.07 |       -63 |     1
 A0554+07          |  1.94 | -12.9 |   7.39 |    7.99 |  7.30   |  340 | -1.4 | KK49            |  5.50 |       -36 |     1
 DDO047            | 11.22 | -16.1 |   8.73 |    9.40 |  8.81   |  160 |  1.0 | KK65            |  8.05 |       -10 |     1
 NGC2683           | 29.52 | -20.4 |  10.60 |   11.14 |  8.94   |  365 |  0.0 | KK70            |  7.73 |           |     1
 NGC2784           | 19.27 | -19.7 |  10.80 |         |         |  398 |  3.1 | KK73            |  9.82 |           |     1
 DDO064            |  4.45 | -14.9 |   8.04 |    8.84 |  8.24   |  461 |  1.6 | KK78            |  7.11 |       -18 |     1
 LeG21             |  0.77 | -11.6 |   6.90 |    6.03 |  7.09   |  696 |  2.8 | KK94            | 10.40 |        12 |     1
 CGCG 262-028      |  2.15 | -14.8 |   7.90 |         |         |  518 | -0.7 | KKH40           |  7.10 |         8 |     1
 KKR60             |  3.22 | -15.4 |   8.42 |         |         |  296 |  2.5 | KKR59           |  5.90 |       -11 |     1
 KKR59             |  8.87 | -17.0 |   9.16 |    9.07 |         |  307 |  1.7 | KKR60           |  5.89 |        11 |     1
 NGC2283           | 14.96 | -18.9 |   9.84 |   10.39 |  9.44   |  622 |  1.3 | KKSG9           | 10.00 |       148 |     1
 LV J1205+2813     |  1.37 | -12.5 |   7.37 |         |         |  492 |  0.5 | KUG 1202+286    |  6.74 |         4 |     1
 LeG04             |  1.58 | -11.5 |   6.85 |         | <6.93   |      |  1.9 | LeG05           | 10.40 |           |     1
 NGC3368           | 27.25 | -20.4 |  10.83 |   11.14 |  9.18   |  740 |  1.1 | LeG16           | 10.42 |           |     1
 LeG18             |  0.86 | -11.3 |   6.77 |    7.58 |  7.15   |  488 |  3.2 | LeG19           | 10.40 |           |     1
 KK94              |  1.78 | -12.7 |   7.34 |    7.97 |  7.69   |  684 |  2.3 | LeG21           | 10.40 |       -12 |     1
 SMC               |  7.09 | -16.5 |   8.85 |    9.25 |  8.65   |  -22 |  3.3 | LMC             |  0.06 |       -50 |     1
 LeG33             |  1.04 | -11.6 |   6.88 |         |         |      |  1.1 | LSBC D640-08    | 10.40 |           |     1
 NGC1156           |  9.21 | -18.1 |   9.31 |    9.51 |  8.82   |  507 | -0.3 | LV J0300+2546   |  7.80 |        64 |     1
 ESO121-020        |  1.68 | -13.8 |   7.78 |    8.08 |  7.94   |  319 | -0.1 | LV J0616-5745   |  6.05 |        33 |     1
 LV J0944-2254     |  0.59 | -12.4 |   7.22 |         | <6.94   |  442 | -1.6 | LV J0939-2507   |  6.05 |        -7 |     1
 KUG 1202+286      |  1.73 | -14.0 |   7.70 |         |         |  488 |  0.1 | LV J1205+2813   |  6.69 |        -4 |     1
 MAPS1206+31       |  1.56 | -13.6 |   7.81 |         |         |  542 | -0.4 | LV J1207+3133   |  7.43 |         4 |     1
 LV J1207+3133     |  1.39 | -11.9 |   7.12 |         |         |  538 |  0.2 | MAPS1206+31     |  7.37 |        -4 |     1
 Maffei1           | 10.48 | -19.0 |  10.22 |         |         |  298 |  2.6 | MB1             |  3.01 |      -123 |     1
 Dw2               |  2.55 | -14.6 |   8.35 |    8.75 |  8.01   |  316 |  2.8 | MB3             |  3.00 |        35 |     1
 MESSIER031        | 43.45 | -21.4 |  10.73 |   11.50 |  9.73   |  -29 |  4.9 | MESSIER032      |  0.77 |       -93 |     1
