       name        |  cz  | error |       bibcode       |                  refs                   
 NGC5585           |  303 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 DDO190            |  150 |     2 | 2005ApJS..160..149S | Springob et al. 2005
 PGC051659         |  391 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO222-010        |  620 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 DDO194            |  218 |    22 | 1991A&AS...87..425R | Richter et al. 1991
 MRK0475           |  583 |    21 | 1999A&AS..139....1T | Thuan et al. 1999
 HIPASS J1441-62   |  672 |     8 | 2004AJ....128...16K | Koribalski et al. 2004
 ESO272-025        |  631 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ESO273-014        | 1050 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ESO223-009        |  588 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 UGC09660          |  608 |    22 | 2005ApJS..160..149S | Springob et al. 2005
 UMin              | -255 |     7 | 1984PASP...96..128S | Stetson 1984
 ESO274-001        |  524 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 HIPASS J1526-51   |  605 |     7 | 2004AJ....128...16K | Koribalski et al. 2004
 UGC09992          |  423 |     0 | 1979ApJ...231..327T | Thuan et al. 1979
 KKR25             |  -79 |     8 | 2011LV.Cz.........K | Current work
 ESO137-018        |  603 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 Hercules          |   45 |     1 | 2009A&A...506.1147A | Ad&eacute;n et al. 2009
 KDG235            |  443 |     7 | 1992MNRAS.258..334S | Staveley-Smith et al. 1992
 Draco             | -296 |     5 | 1984PASP...96..128S | Stetson 1984
 Milky Way         |    0 |       | 2004AJ....127.2031K | Karachentsev et al. 2004
 IC4662            |  302 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC6503           |   51 |     6 | 1981ApJS...47..139F | Fisher et al. 1981
 IC4710            |  739 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC6684           |  866 |       | 1997A&AS..124...61B | Bettoni et al. 1997
 Sag dSph          |  140 |     2 | 1995MNRAS.277..781I | Ibata et al. 1995
 ESO104-022        |  797 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 UGC11411          |   69 |    38 | 1999PASP..111..438F | Falco et al. 1999
 NGC6744           |  841 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 ESO104-044        |  750 |       | 2011LV.HIPASS.....K | Current work
 NGC6789           | -140 |     9 | 1998A&A...331..891K | Karachentsev et al. 1998
 Sag dIr           |  -79 |     1 | 2004AJ....128...16K | Koribalski et al. 2004
 IC4870            |  877 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC6822           |  -57 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 LV J1952+1428     |  279 |     1 | 2011ApJ...739L..26M | McIntyre et al. 2011
 KK246             |  435 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 IC4951            |  814 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC11583          |  126 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KK251             |  130 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KK252             |  138 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC6946           |   51 |     5 | 2000A&A...362..544K | Karachentsev et al. 2000
 KKR55             |   32 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 DDO210            | -140 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KKR56             |  -43 |     8 | 2003A&A...405..951M | Makarov et al. 2003
 Cepheus1          |   33 |     7 | 2003A&A...405..951M | Makarov et al. 2003
 IC5052            |  584 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 KKR59             |   -3 |     4 | 2003A&A...405..951M | Makarov et al. 2003
 KKR60             |  -14 |     7 | 2003A&A...405..951M | Makarov et al. 2003
 NGC7090           |  850 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 IC5152            |  122 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 IC5201            |  915 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ESO238-005        |  706 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 AM2220-460        |  843 |       | 2011LV.HIPASS.....K | Current work
 Tucana            |  194 |     4 | 2009A&A...499..121F | Fraternali et al. 2009
 NGC7462           | 1057 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ApplesI           |  674 |    30 | 2005AJ....129..148P | Pasquali et al. 2005
 NGC7640           |  369 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 UGC12588          |  425 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 UGCA438           |   62 |     8 | 1982MNRAS.200..325L | Longmore et al. 1982
 Cas dSph          | -307 |     2 | 2000ApJ...540L...9E | Evans et al. 2000
 ESO347-017        |  691 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 Pegasus           | -184 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 DDO217            |  424 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 IC5332            |  701 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 LV J2335-3713     |  615 |     2 | 2011ApJS..197...28P | Pisano et al. 2011
 NGC7713           |  692 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 UGC12713          |  295 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 UGCA442           |  267 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 KKH98             | -132 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO348-009        |  647 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 Peg dSph          | -345 |     3 | 2011MNRAS.417.1170C | Collins et al. 2011
 ESO149-003        |  574 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 And XXI           | -361 |     6 | 2012ApJ...752...45T | Tollerud et al. 2012
 NGC7793           |  227 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
