       name        |  cz  | error |       bibcode       |                  refs                   
 NGC2552           |  524 |     2 | 2005ApJS..160..149S | Springob et al. 2005
 ESO006-001        |  738 |    95 | 1991ApJS...75..241D | Dressler 1991
 ESO495-008        |  789 |    10 | 1998A&AS..130..333T | Theureau et al. 1998
 KDG052            |  116 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KUG 0821+321      |  642 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 CGMW2-3473        |  837 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 DDO052            |  396 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 DDO053            |   19 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO495-021        |  868 |    12 | 2004AJ....128...16K | Koribalski et al. 2004
 UGC04483          |  156 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 ESO496-010        |  814 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 AGC182595         |  398 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 UMa II            | -116 |     2 | 2007ApJ...670..313S | Simon et al. 2007
 NGC2683           |  411 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 KK69              |  462 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 UGC04704          |  599 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 LSBC D564-08      |  483 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 ESO497-004        |  806 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 HIPASS J0905-36   |  886 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC04787          |  553 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 KKH46             |  598 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 LSBC D634-03      |  335 |    10 | 2011AJ....142..170H | Haynes et al. 2011
 DDO056            |  724 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 NGC2784           |  687 |    80 | 2005PASA...22..277J | Jones et al. 2005
 UGCA153           |  766 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 LV J0913+1937     |  445 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 AGC198507         |  502 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 UGC04879          |  -25 |     4 | 2011A&A...527A..58B | Bellazzini et al. 2011
 HIPASS J0916-23b  |  837 |       | 2008AstL...34..832K | Karachentsev et al. 2008
 NGC2835           |  885 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC2787           |  700 |     0 | 1982A&A...110..121H | Huchtmeier 1982
 LSBC D565-06      |  498 |     2 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC04932          |  549 |    22 | 2005ApJS..160..149S | Springob et al. 2005
 DDO062            |  846 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 AGC198508         |  519 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 ESO565-003        |  829 |     3 | 2001A&A...377..801H | Huchtmeier et al. 2001
 MCG +09-16-010    |  484 |     4 | 2012SDSS9.C...0000: | SDSS DR9 2012
 UGC04998          |  632 |    13 | 1998A&AS..127..397v | van Driel et al. 1998
 LV J0926+3343     |  540 |    30 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 NGC2915           |  467 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC05047          |  502 |    13 | 2012SDSS9.C...0000: | SDSS DR9 2012
 KDG056            |  561 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC2903-HI-1      |  582 |     4 | 2009ApJ...692.1447I | Irwin et al. 2009
 NGC2903           |  556 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 ESO373-007        |  862 |     6 | 1990A&AS...86..473F | Fouque et al. 1990
 UGC05086          |  491 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 CGCG 035-007      |  552 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 LeoT              |   39 |     2 | 2008MNRAS.384..535R | Ryan-Weber et al. 2008
 LV J0935-1348     |  796 |    45 | 20096dF...C...0000J | Jones et al. 2009
 LV J0939-2507     |  741 |    45 | 20096dF...C...0000J | Jones et al. 2009
 KISSB023          |  544 |   314 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 KUG 0937+480      |  546 |     3 | 2012SDSS9.C...0000: | SDSS DR9 2012
 HolmI             |  139 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC05186          |  546 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 LV J0944-2254     |  729 |    45 | 20096dF...C...0000J | Jones et al. 2009
 IC0559            |  541 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 F8D1              | -125 |   130 | 2009AJ....137.3009C | Chiboucas et al. 2009
 UGC05209          |  535 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 RKK1610           |  882 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC2976           |    6 |     4 | 1981MNRAS.195..327A | Appleton et al. 1981
 AGC191803         |  535 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 KK78              |  539 |     4 | 2003A&A...405..951M | Makarov et al. 2003
 DDO064            |  521 |     2 | 1996ApJS..105..269H | Hoffman et al. 1996
 UGC05288          |  557 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 NGC3037           |  887 |     5 | 2004AJ....128...16K | Koribalski et al. 2004
 BK3N              |  -40 |       | 1993A&A...275...39T | Tikhonov et al. 1993
 LV J0954+3620     |  503 |    55 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 KKSG15            |  791 |     3 | 2001A&A...377..801H | Huchtmeier et al. 2001
 MESSIER081        |  -38 |     0 | 1978ApJ...223..391D | Dickel et al. 1978
 MESSIER082        |  183 |     4 | 1981MNRAS.195..327A | Appleton et al. 1981
 LV J0956-0929     |  627 |    45 | 20096dF...C...0000J | Jones et al. 2009
 DDO068            |  503 |     8 | 1985ApJS...59..161L | Lewis et al. 1985
 KDG061            |  221 |     3 | 2010MNRAS.406.1152M | Makarova et al. 2010
 ClumpI            | -165 |    18 | 2011MNRAS.415L..31K | Karachentsev et al. 2011
 A0952+69          |   99 |       | 2003MNRAS.342..738L | Lang et al. 2003
 HolmIX            |   50 |     4 | 1981MNRAS.195..327A | Appleton et al. 1981
 [CKT2009]d0958+66 |   90 |    50 | 2009AJ....137.3009C | Chiboucas et al. 2009
 LeoA              |   24 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 [CKT2009]d0959+68 | -186 |    44 | 2011MNRAS.415L..31K | Karachentsev et al. 2011
 SexB              |  300 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 LV J1000+5022     |  538 |    11 | 2012SDSS9.C...0000: | SDSS DR9 2012
 LV J1000+3032     |  501 |    37 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 ClumpIII          | -121 |    20 | 2011MNRAS.415L..31K | Karachentsev et al. 2011
 MCG -01-26-009    |  748 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KKSG17            |  446 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGCA193           |  663 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC3109           |  403 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC3077           |   19 |     4 | 1981MNRAS.195..327A | Appleton et al. 1981
 GARLAND           |   43 |    17 | 1985MNRAS.217..731K | Karachentsev et al. 1985
 ESO499-038        |  885 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC3104           |  603 |     2 | 2005ApJS..160..149S | Springob et al. 2005
 Antlia            |  362 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC05427          |  498 |    16 | 1990ApJS...72..245S | Schneider et al. 1990
 KDG063            | -129 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC3115           |  681 |     6 | 2003AJ....126.2268W | Wegner et al. 2003
 UGC05423          |  348 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 KDG065            |  721 |    53 | 2008ApJ...674..909P | Puzia et al. 2008
 KKSG18            |  698 |    42 | 1998AJ....116....1D | da Costa et al. 1998
 KDG064            |  -15 |    13 | 2010MNRAS.406.1152M | Makarova et al. 2010
 Segue 1           |  206 |     1 | 2009ApJ...692.1464G | Geha et al. 2009
 UGC05456          |  527 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KKH58             |  587 |     8 | 2001A&A...366..428K | Karachentsev et al. 2001
 IKN               | -140 |    64 | 2009AJ....137.3009C | Chiboucas et al. 2009
 LeoI              |  283 |    10 | 2007MNRAS.378..318B | Bosler et al. 2007
 SexA              |  324 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 UGC05497          |  150 |    50 | 2009AJ....137.3009C | Chiboucas et al. 2009
 SexDSph           |  227 |     3 | 2006AJ....131.2913B | Bouchard et al. 2006
 KUG 1013+414      |  518 |     1 | 2012SDSS9.C...0000: | SDSS DR9 2012
